"Holdings and weightings as of 5:36 PM ET 02/21/2017",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"JPM","JP Morgan Chase & Co","10.82%","90.85","-0.16","-0.18%","7.15 M","54.33 - 91.15",
"BRK.b","Berkshire Hathaway B","10.66%","169.40","+0.48","+0.28%","2.08 M","128.88 - 169.65",
"WFC","Wells Fargo & Co","8.75%","58.35","+0.10","+0.17%","8.56 M","43.55 - 59.01",
"BAC","Bank of America Corp","8.32%","24.76","-0.03","-0.10%","66.16 M","11.65 - 24.80",
"C","Citigroup Inc","5.73%","60.73","+0.18","+0.30%","12.12 M","36.61 - 61.63",
"GS","Goldman Sachs Group Inc","3.09%","251.17","-0.59","-0.23%","1.71 M","138.20 - 252.65",
"USB","US Bancorp","2.93%","55.21","+0.01","+0.02%","3.00 M","37.48 - 55.37",
"MS","Morgan Stanley","2.23%","46.49","-0.08","-0.16%","5.81 M","22.68 - 46.75",
"CB","Chubb Limited","2.11%","137.49","+0.76","+0.56%","710.38 K","114.58 - 136.87",
"AIG","American Intl Group Inc","2.06%","63.91","+0.50","+0.79%","6.92 M","48.41 - 67.47",
"PNC","PNC Finl Services Group","2.06%","128.02","+0.47","+0.37%","850.92 K","77.40 - 127.92",
"AXP","American Express Co","2.04%","79.80","-0.17","-0.21%","1.97 M","53.56 - 80.45",
"MET","Metlife Inc","1.95%","53.40","+0.05","+0.09%","4.25 M","36.17 - 58.09",
"BK","The Bank of New York Mellon Corp","1.67%","47.33","-0.17","-0.36%","2.53 M","33.82 - 49.54",
"SCHW","Schwab Charles Corp","1.67%","41.47","-0.31","-0.74%","3.85 M","23.00 - 42.61",
"PRU","Prudential Financial Inc","1.59%","110.38","-0.84","-0.76%","1.45 M","62.62 - 112.39",
"BLK","BlackRock Inc","1.58%","389.46","-0.64","-0.16%","277.72 K","297.89 - 399.46",
"COF","Capital One Financial","1.49%","92.92","+0.07","+0.08%","1.12 M","58.03 - 93.57",
"CME","CME Group Inc A","1.36%","122.19","+1.14","+0.94%","1.48 M","89.00 - 124.01",
"BBT","BB&T Corp","1.29%","48.18","+0.19","+0.39%","1.97 M","31.27 - 48.36",
"MMC","Marsh & McLennan Companies","1.25%","72.72","-0.21","-0.29%","927.91 K","56.51 - 73.67",
"ICE","Intercontinental Exchange Inc","1.15%","57.54","-0.42","-0.72%","1.76 M","45.44 - 60.54",
"TRV","Travelers Cos Inc","1.15%","121.92","+0.37","+0.30%","752.86 K","103.45 - 123.09",
"SPGI","S&P Global Inc","1.13%","130.46","+0.11","+0.08%","449.32 K","85.36 - 131.25",
"AON","Aon plc","1.01%","115.30","-0.28","-0.24%","710.85 K","92.88 - 117.80",
"ALL","Allstate Corp","0.99%","80.64","+0.02","+0.02%","1.64 M","62.78 - 80.82",
"STI","SunTrust Banks Inc (GA)","0.98%","59.90","+0.11","+0.18%","2.32 M","32.45 - 60.31",
"AFL","AFLAC Inc","0.97%","71.07","-0.35","-0.49%","1.15 M","58.46 - 74.50",
"STT","State Street Corp","0.97%","79.99","-0.54","-0.67%","1.41 M","50.60 - 83.49",
"SYF","Synchrony Financial","0.96%","36.86","0.00","0.00%","1.67 M","23.25 - 38.06",
"DFS","Discover Financial Services","0.93%","71.22","-0.07","-0.10%","1.13 M","45.27 - 74.33",
"MTB","M&T Bank Corp","0.87%","167.86","-0.07","-0.04%","620.15 K","101.95 - 170.81",
"PGR","Progressive Corp","0.75%","38.74","-0.19","-0.49%","1.30 M","30.54 - 38.97",
"AMP","Ameriprise Financial Inc","0.69%","130.53","-0.24","-0.18%","637.59 K","80.39 - 131.22",
"FITB","Fifth Third Bancorp (OH)","0.69%","27.45","-0.12","-0.44%","4.35 M","14.56 - 27.88",
"KEY","KeyCorp","0.68%","18.88","-0.18","-0.94%","6.05 M","10.21 - 19.21",
"CFG","Citizens Financial Group Inc","0.65%","37.79","-0.26","-0.68%","3.12 M","18.34 - 38.43",
"RF","Regions Financial Corp","0.63%","15.31","-0.12","-0.78%","9.67 M","7.21 - 15.66",
"MCO","Moody's Corp","0.62%","113.63","+0.76","+0.67%","1.09 M","83.71 - 113.14",
"NTRS","Northern Trust Corp (IL)","0.62%","87.50","-0.56","-0.64%","327.10 K","56.78 - 91.14",
"HIG","Hartford Finl Services Group","0.61%","48.64","-0.29","-0.59%","1.84 M","38.92 - 49.68",
"TROW","T Rowe Price Group Inc","0.58%","71.25","+0.05","+0.07%","775.79 K","62.97 - 79.00",
"LNC","Lincoln National Corp","0.55%","71.66","-0.61","-0.84%","1.32 M","34.16 - 73.31",
"PFG","Principal Financial Group","0.55%","62.76","+0.34","+0.54%","1.32 M","35.73 - 62.89",
"WLTW","Willis Towers Watson PLC","0.55%","126.95","-0.81","-0.63%","309.50 K","109.82 - 133.40",
"HBAN","Huntington Bancshares (OH)","0.51%","14.19","0.00","0.00%","4.03 M","8.05 - 14.34",
"BEN","Franklin Resources Inc","0.50%","42.75","-0.28","-0.65%","1.23 M","30.56 - 43.25",
"IVZ","Invesco Ltd","0.45%","33.28","+0.13","+0.39%","2.48 M","23.02 - 33.34",
"L","Loews Corp","0.43%","47.14","+0.02","+0.03%","429.65 K","35.79 - 48.05",
"CMA","Comerica Inc (MI)","0.42%","72.25","-0.41","-0.56%","632.64 K","32.74 - 73.85",
"UNM","Unum Group","0.37%","48.30","-0.26","-0.54%","1.29 M","26.94 - 49.36",
"XL","XL Group Ltd","0.37%","41.11","+0.16","+0.39%","903.51 K","30.33 - 41.11",
"CINF","Cincinnati Financial Corp","0.36%","72.68","-0.17","-0.23%","193.85 K","61.96 - 79.60",
"ETFC","E*TRADE Financial Corp","0.34%","37.25","-0.04","-0.11%","1.90 M","21.52 - 38.61",
"AJG","Gallagher Arthur J. & Co","0.33%","56.09","-0.06","-0.10%","408.96 K","38.98 - 57.19",
"AMG","Affiliated Managers Grp","0.31%","169.31","-1.60","-0.94%","276.56 K","124.64 - 179.85",
"ZION","Zions Bancorp (UT)","0.30%","44.83","-0.06","-0.13%","1.44 M","20.08 - 45.52",
"LUK","Leucadia National Corp (NY)","0.28%","25.60","-0.11","-0.43%","1.75 M","14.27 - 25.85",
"TMK","Torchmark Corp","0.28%","77.63","+0.37","+0.48%","200.98 K","48.70 - 77.43",
"NDAQ","Nasdaq Inc","0.27%","71.11","-0.26","-0.36%","460.06 K","61.19 - 71.92",
"PBCT","People's United Financial Inc","0.20%","19.27","+0.02","+0.08%","1.14 M","13.80 - 20.13",
"AIZ","Assurant Inc","0.19%","98.15","+0.11","+0.11%","195.90 K","69.46 - 98.98",
"NAVI","Navient Corp","0.16%","15.50","+0.04","+0.26%","1.06 M","9.67 - 17.95",
